BCS,Age,Sex,Length,Girth,Height,Weight,WeightAlt
3.0,<2,stallion,69,90,91,65,
2.0,<2,stallion,74,90,89,71,
3.0,<2,stallion,68,92,86,72,
1.5,<2,stallion,74,93,95,74,
3.0,<2,stallion,78,90,90,77,
2.5,<2,female,79,95,92,86,
2.0,<2,stallion,77,95,89,86,
2.5,<2,stallion,80,98,97,87,
2.5,<2,stallion,84,95,96,90,
2.5,<2,female,82,95,93,90,
2.5,<2,female,79,98,91,91,
2.0,2-5,stallion,76,98,98,92,
3.0,<2,female,80,101,92,94,
3.0,<2,female,85,96,93,94,
3.0,<2,female,81,106,92,95,
2.5,2-5,female,78,107,90,96,
2.0,2-5,stallion,85,101,97,98,
2.5,<2,female,82,102,96,98,98.0
3.0,<2,female,86,105,92,100,
2.5,<2,stallion,91,97,94,100,
2.5,<2,female,83,104,94,102,103.0
3.0,<2,female,83,104,96,105,
2.5,<2,female,85,108,93,105,
1.5,<2,female,86,102,98,105,
2.0,2-5,stallion,79,108,97,106,
2.5,<2,stallion,87,104,96,106,
2.5,2-5,stallion,86,104,94,107,
2.5,<2,stallion,85,106,99,107,
2.5,<2,female,81,109,96,107,
2.5,<2,stallion,83,106,96,108,
3.0,<2,female,78,105,96,108,
2.5,2-5,stallion,89,107,100,109,
2.5,2-5,female,87,101,93,110,
2.5,<2,female,87,110,97,112,
2.5,2-5,female,93,106,102,113,
2.5,<2,female,88,108,98,113,
2.5,<2,female,86,108,98,114,
1.5,>20,stallion,88,107,95,114,
2.5,2-5,stallion,93,104,98,114,
2.5,2-5,stallion,85,105,97,114,
3.0,<2,female,85,105,91,115,
2.5,2-5,stallion,99,105,99,115,
2.0,<2,female,84,106,96,115,
2.0,10-15,female,88,110,101,116,
3.0,<2,stallion,85,106,98,117,
2.5,<2,female,83,108,97,117,
2.5,<2,female,87,108,100,117,
2.5,<2,stallion,92,100,98,117,
3.0,<2,female,88,104,97,118,
2.5,2-5,female,88,108,97,119,
2.0,5-10,stallion,93,106,102,120,
3.0,2-5,stallion,93,107,100,120,
2.5,2-5,stallion,92,110,99,122,
3.0,2-5,female,92,107,94,122,
2.0,2-5,female,99,108,100,122,123.0
2.5,2-5,female,86,105,100,122,
3.0,<2,stallion,95,115,99,124,
2.5,5-10,female,89,110,102,125,
2.5,2-5,stallion,86,109,89,125,
2.0,15-20,stallion,91,110,99,125,
