,Unnamed: 0,BCS,Age,Sex,Length,Girth,Height,Weight,WeightAlt
75,362,3.0,5-10,stallion,81,111,101,126,
81,364,3.0,10-15,female,91,112,100,127,126.0
85,407,3.0,5-10,stallion,90,115,99,129,
86,363,3.0,5-10,gelding,83,115,96,129,
115,304,3.0,10-15,female,96,118,97,135,
118,313,3.0,10-15,female,100,115,101,136,
120,159,3.0,10-15,stallion,99,116,105,136,
125,350,3.0,10-15,female,92,116,103,137,
127,103,3.0,>20,female,96,112,99,137,
128,341,3.0,5-10,female,102,113,102,138,
141,198,3.0,10-15,gelding,85,113,98,140,
147,376,3.0,5-10,female,90,113,104,141,
150,417,3.0,5-10,female,94,109,98,141,
153,180,3.0,10-15,female,97,114,99,142,
155,193,3.0,10-15,stallion,99,110,96,142,
161,377,3.0,5-10,stallion,93,116,100,142,
166,444,3.0,10-15,female,93,120,98,143,
170,88,3.0,5-10,female,91,111,99,143,
173,385,3.0,15-20,stallion,97,118,103,143,
176,146,3.0,10-15,gelding,98,113,95,144,
177,189,3.0,10-15,stallion,103,116,99,144,
180,264,3.0,5-10,stallion,90,118,99,144,144.0
181,291,3.0,10-15,stallion,93,112,99,144,
182,357,3.0,5-10,female,98,113,104,144,
185,300,3.0,5-10,gelding,100,115,101,145,
190,71,3.0,10-15,stallion,92,113,98,145,
193,540,3.0,10-15,stallion,98,115,101,145,
195,278,3.0,15-20,stallion,99,115,101,145,
196,149,3.0,5-10,stallion,99,116,101,145,
201,186,3.0,10-15,stallion,91,118,102,146,
203,448,3.0,10-15,female,94,113,103,146,
206,354,3.0,10-15,female,92,111,101,146,
208,398,3.0,>20,gelding,101,117,100,147,
213,228,3.0,10-15,gelding,84,119,98,148,
215,248,3.0,5-10,female,101,115,101,148,
217,258,3.0,10-15,stallion,102,115,99,149,149.0
218,303,3.0,10-15,female,92,120,100,149,
221,272,3.0,5-10,stallion,93,116,98,149,
227,331,3.0,10-15,gelding,94,111,99,150,
228,157,3.0,5-10,female,98,114,100,150,
231,397,3.0,10-15,female,108,115,100,150,
232,442,3.0,10-15,gelding,94,112,100,151,
238,58,3.0,10-15,female,90,116,97,152,
240,96,3.0,5-10,gelding,96,118,101,152,
241,314,3.0,10-15,female,98,112,99,152,
242,452,3.0,>20,female,94,120,104,152,
