"","BCS","Age","Sex","Length","Girth","Height","Weight","WeightAlt"
"364","3","10-15","female",91,112,100,127,126
"363","3","5-10","gelding",83,115,96,129,NA
"407","3","5-10","stallion",90,115,99,129,NA
"359","3","10-15","stallion",86,113,100,135,NA
"313","3","10-15","female",100,115,101,136,NA
"350","3","10-15","female",92,116,103,137,NA
"341","3","5-10","female",102,113,102,138,NA
"198","3","10-15","gelding",85,113,98,140,NA
"376","3","5-10","female",90,113,104,141,NA
"417","3","5-10","female",94,109,98,141,NA
"105","3","5-10","female",90,113,99,142,NA
"180","3","10-15","female",97,114,99,142,NA
"193","3","10-15","stallion",99,110,96,142,NA
"377","3","5-10","stallion",93,116,100,142,NA
"444","3","10-15","female",93,120,98,143,NA
"146","3","10-15","gelding",98,113,95,144,NA
"189","3","10-15","stallion",103,116,99,144,NA
"291","3","10-15","stallion",93,112,99,144,NA
"357","3","5-10","female",98,113,104,144,NA
"149","3","5-10","stallion",99,116,101,145,NA
"278","3","15-20","stallion",99,115,101,145,NA
"300","3","5-10","gelding",100,115,101,145,NA
"312","3","5-10","stallion",88,122,102,145,NA
"353","3","10-15","stallion",94,114,101,145,NA
"540","3","10-15","stallion",98,115,101,145,NA
"186","3","10-15","stallion",91,118,102,146,NA
"354","3","10-15","female",92,111,101,146,NA
"448","3","10-15","female",94,113,103,146,NA
"263","3","10-15","female",93,120,99,147,NA
"228","3","10-15","gelding",84,119,98,148,NA
"258","3","10-15","stallion",102,115,99,149,149
"272","3","5-10","stallion",93,116,98,149,NA
"303","3","10-15","female",92,120,100,149,NA
"157","3","5-10","female",98,114,100,150,NA
"397","3","10-15","female",108,115,100,150,NA
"82","3","5-10","gelding",93,117,101,151,NA
"442","3","10-15","gelding",94,112,100,151,NA
"58","3","10-15","female",90,116,97,152,NA
"96","3","5-10","gelding",96,118,101,152,NA
"177","3","5-10","female",96,117,101,152,NA
"450","3","10-15","female",98,118,101,152,NA
"452","3",">20","female",94,120,104,152,NA
"536","3","5-10","stallion",99,114,100,152,NA
"458","3",">20","gelding",95,120,103,153,NA
"123","3","10-15","gelding",97,116,103,154,NA
"206","3","10-15","gelding",100,116,105,154,NA
"465","3","10-15","gelding",99,116,103,154,NA
"113","3","10-15","stallion",95,118,107,155,NA
"197","3","10-15","gelding",101,116,100,155,NA
"181","3","10-15","female",105,118,104,156,NA
"288","3","10-15","female",93,122,102,156,NA
"412","3","10-15","stallion",100,115,103,156,NA
"415","3","10-15","female",90,119,101,156,NA
"110","3",">20","stallion",97,118,103,157,NA
"126","3","10-15","female",95,121,101,157,157
"166","3","10-15","stallion",105,119,102,157,NA
"306","3","5-10","female",91,116,102,157,NA
"108","3",">20","gelding",92,118,101,158,158
"184","3","10-15","stallion",91,116,105,158,NA
"255","3","10-15","gelding",97,115,100,158,NA
"282","3","10-15","female",95,116,101,158,NA
"358","3","10-15","gelding",95,119,102,158,NA
"383","3","5-10","stallion",89,116,103,158,NA
"449","3","10-15","gelding",98,120,103,158,157
"84","3","15-20","female",97,116,99,159,NA
"122","3","10-15","gelding",106,113,103,159,NA
"473","3","5-10","gelding",101,119,108,159,NA
"175","3","10-15","female",95,116,99,160,NA
"201","3","10-15","stallion",92,116,105,160,NA
"202","3","10-15","stallion",96,112,100,160,NA
"343","3",">20","gelding",98,117,106,160,NA
"80","3","10-15","female",96,124,106,161,NA
"91","3","10-15","stallion",94,120,107,161,NA
"153","3","10-15","stallion",98,115,103,161,160
"421","3","10-15","female",91,127,101,161,NA
"424","3","10-15","stallion",93,126,98,161,NA
"55","3","10-15","female",91,121,100,162,NA
"135","3","10-15","stallion",90,121,106,162,NA
"219","3","10-15","stallion",97,120,103,162,NA
"242","3","10-15","stallion",99,114,103,162,162
"281","3","10-15","female",103,122,100,162,NA
"327","3",">20","female",101,117,105,162,NA
"425","3","15-20","stallion",90,117,103,162,NA
"526","3","10-15","stallion",97,116,104,162,NA
"66","3","15-20","female",97,117,99,163,NA
"132","3","10-15","stallion",98,120,102,163,NA
"257","3","10-15","stallion",89,120,99,163,NA
"323","3","10-15","female",98,126,101,163,NA
"495","3",">20","stallion",90,123,104,163,NA
"510","3","10-15","gelding",95,118,101,163,NA
"56","3","10-15","female",94,120,101,164,NA
